* 통계표명 :,지가변동률_연도별,,,,,,,,,,,,,,,,,,,,,,,
* 수록기간 :,1975년 ~ 2021년,,,,,,,,,,,,,,,,,,,,,,,
* 조회기간 :,1975년 ~ 2021년,,,,,,,,,,,,,,,,,,,,,,,
* 출처 :,국토교통부,,,,,,,,,,,,,,,,,,,,,,,
* 자료다운일자 :,2022.10.31 04:05:16,,,,,,,,,,,,,,,,,,,,,,,
* 단위 :,%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
지 역,,,2000년,2001년,2002년,2003년,2004년,2005년,2006년,2007년,2008년,2009년,2010년,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년,2021년
울산,,,-0.26,0.38,1.75,0.66,1.79,2.062,2.937,2.902,-0.281,0.307,0.736,1.094,1.646,1.368,1.849,2.52,2.351,3.542,2.646,0.35,1.635,2.315
,중구,,-1.13,-0.44,2.08,0.11,1.17,1.317,2.326,1.485,-0.666,0.504,0.616,0.968,1.61,1.439,2.471,3.368,3.566,4.904,3.708,0.805,2.425,2.984
,남구,,-0.4,0.96,1.57,0.66,1.04,1.34,3.195,2.571,-0.08,0.043,0.679,0.526,1.551,1.482,1.498,2.464,2.376,3.675,3.145,0.736,2.606,3.851
,동구,,0.56,0.08,1.45,0.49,0.54,0.119,0.318,0.934,-0.598,0.307,0.43,0.396,1.588,1.276,2.31,1.441,-0.407,-1.855,-3.032,-1.845,-0.863,0.187
,북구,,0.48,0.21,0.98,1.83,2.01,2.51,4.263,3.633,-0.295,0.204,0.663,1.5,1.727,1.489,2.037,2.292,2.356,4.266,3.404,1.009,1.046,1.83
,울주군,,-0.15,0.17,2.41,0.45,3.9,4.238,3.268,4.409,-0.235,0.558,0.974,1.78,1.743,1.178,1.74,2.67,2.627,4.175,3.002,0.04,1.382,1.37
세종,,,-,-,-,-,-,-,-,-,-,-,-,-,3.187,5.498,4.527,4.572,4.775,7.015,7.419,4.952,10.623,7.06
,세종시,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
경기,,,1.92,1.91,13.06,5.12,6.12,5.686,5.074,4.229,-0.267,1.217,1.485,1.47,1.038,0.912,1.236,1.733,2.231,3.45,4.421,4.291,3.978,4.305
,시지역,,-,-,-,-,-,-,-,-,-,-,-,-,1.043,0.925,1.251,1.756,2.252,3.468,4.443,4.329,4.012,4.346
,군지역,,-,-,-,-,-,-,-,-,-,-,-,-,0.937,0.484,0.698,0.955,1.562,2.82,3.763,2.98,2.851,2.929
,수원시,,1.49,1.96,11.92,3.53,4.07,4.824,5.417,3.585,-1.124,0.912,1.504,1.579,0.687,0.522,1.238,1.431,1.835,3.067,3.493,3.964,4.085,4.229
,,장안구,0.97,1.22,7.62,2.16,3.36,3.872,4.533,3.201,-1.167,0.684,1.519,1.685,0.712,0.604,1.065,1.074,1.652,2.631,2.786,3.954,4.164,3.929
,,권선구,0.34,1.63,12.57,2.06,3.93,5.736,5.89,3.728,-0.98,1.084,1.425,1.575,0.108,0.113,1.156,1.371,1.684,2.83,3.46,3.83,4.054,4.291
,,팔달구,2.68,2.64,13.87,5.32,4.06,3.928,4.33,3.996,-0.225,1.053,1.885,1.606,0.351,0.32,0.708,1.185,1.646,3.176,3.808,4.18,4.017,4.796
,,영통구,-,-,-,-,4.83,5.412,6.441,3.468,-1.829,0.798,1.307,1.509,1.438,0.922,1.664,1.727,2.118,3.381,3.648,3.998,4.088,4.013
,성남시,,0.81,1.13,10.7,14.05,6.94,5.433,5.549,3.642,-2.06,0.809,1.089,1.267,1.028,1.361,0.837,1.348,2.496,3.385,5.651,5.036,4.473,4.781
,,수정구,0.62,1.08,10.56,11.85,4.85,5.622,7.352,3.486,-1.405,1.219,1.033,1.446,1.399,1.244,1.053,1.566,2.701,4.675,6.44,6.037,6.227,6.577
,,중원구,0.35,0.46,7.22,10.49,1.42,4.826,6.04,3.868,-2.058,1.424,1.068,1.221,0.845,0.471,0.744,1.212,2.399,2.799,4.408,4.911,5.527,5.254
,,분당구,1.06,1.42,12.06,16.25,9.66,5.523,4.84,3.633,-2.259,0.541,1.111,1.227,0.959,1.604,0.791,1.299,2.442,3.028,5.637,4.675,3.548,4.005
,의정부시,,1.75,2.38,10.63,3.4,5.29,2.797,5.196,5.627,1.166,1.436,1.493,1.004,0.362,0.381,1.158,1.162,1.839,2.438,3.196,3.25,4.119,4.013
,안양시,,1.54,1.09,12.34,2.85,4.54,5.387,5.323,4.16,-1.358,0.794,0.575,0.524,0.196,1.015,1.245,1.917,2.646,3.322,4.244,4.379,3.939,5.312
,,만안구,0.63,0.99,11.98,2.73,4.36,4.662,5.583,3.736,-1.228,0.719,0.841,0.703,0.331,1.091,1.265,1.895,2.509,3.406,3.639,4.16,3.761,4.409
,,동안구,2.19,1.16,12.56,2.93,4.67,5.841,5.162,4.419,-1.437,0.838,0.414,0.419,0.117,0.971,1.232,1.931,2.728,3.271,4.609,4.509,4.043,5.821
,부천시,,0.72,1.71,15.73,3.25,1.58,3.978,3.878,4.345,-0.483,1.467,1.348,1.261,0.945,1.382,1.516,1.899,1.304,3.387,3.582,4.379,4.116,4.506
,,(구)부천시중구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,(구)부천시남구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,원미구,0.46,1.63,15.99,2.73,0.66,3.435,3.471,3.844,-0.505,1.358,1.258,1.012,1.023,1.714,1.838,1.942,-,-,-,-,-,-
,,소사구,0.73,1.43,13.83,3.83,2.24,6.056,4.421,5.773,-0.385,1.674,1.445,1.926,0.775,0.717,0.861,1.794,-,-,-,-,-,-
