지 역,,,1975년,1976년,1977년,1978년,1979년,1980년,1981년,1982년,1983년,1984년,1985년,1986년,1987년,1988년,1989년,1990년,1991년,1992년,1993년,1994년,1995년,1996년,1997년,1998년,1999년,2000년,2001년,2002년,2003년,2004년,2005년,2006년,2007년,2008년,2009년,2010년,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년,2021년
,강서구,,-,-,-,-,-,-,-,-,-,-,-,-,77.42,28.21,19.97,19.17,15.22,0.82,-2.33,-0.29,1.57,0.32,0.15,-10.05,3.78,1.74,0.29,8.13,3,5.22,7.481,5.044,5.202,3.672,0.989,1.979,2.19,2.465,1.862,2.142,3.573,3.596,6.813,5.14,2.909,2.756,2.898
,연제구,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.01,0.24,-1.03,-16.74,1.23,-0.35,1.29,3.17,0.78,0.38,1.209,1.921,2.523,-0.964,-0.098,1.083,1.351,1.517,1.292,1.941,2.894,4.631,6.902,6.093,4.061,4.601,4.568
,수영구,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.17,0.46,-1.41,-16.65,0.76,-1.51,1.28,6.12,0.87,0.47,1.591,2.079,2.039,-1.145,-0.097,1.017,1.471,1.687,1.666,2.512,3.376,4.553,7.756,6.539,4.184,5.042,6.031
,사상구,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.42,0.81,-0.69,-17.33,1.47,-0.96,0.11,3.22,0.82,0.39,1.011,4.552,4.253,-0.425,-0.434,1.479,1.726,1.317,0.957,2.031,2.182,3.06,5.273,4.625,3.198,2.79,3.106
,기장군,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.57,2.29,2.43,-7.4,8.22,4.27,2.2,12.75,4.85,5.14,6.04,5.919,4.704,2.323,1.004,2.136,1.961,2.302,2.183,2.86,2.986,3.836,7.004,6.846,2.961,2.282,3.649
(구)부산직할시,,,-,-,48.53,93.59,14.2,24.01,6.81,4.3,15.4,10.3,8.7,9.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,(구)중구,,-,-,-,-,-,26.14,7.68,6.9,20,16.4,14.7,9.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,(구)서구,,-,-,-,-,-,26.75,7.1,3.9,17.7,8.5,9.4,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,(구)동구,,-,-,-,-,-,29.25,4.66,4.8,16.3,9.9,8.3,7.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,(구)영도구,,-,-,-,-,-,17.93,7.19,5.3,14.6,9.4,7.7,6.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,(구)부산진구,,-,-,-,-,-,24.95,5.67,4.7,14.7,9.4,9,10.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,(구)동래구,,-,-,-,-,-,22.21,7.19,4.8,16.8,11.1,9.1,9.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,(구)남구,,-,-,-,-,-,26.24,4.55,4,11.9,9.2,6.4,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,(구)북구,,-,-,-,-,-,23.05,10.54,3,15.3,11.4,8.4,12.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,(구)해운대구,,-,-,-,-,-,19.32,5.11,3.6,12.9,10,10.9,9.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,(구)사하구,,-,-,-,-,-,-,-,-,-,8.3,9,8.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,(구)금정구,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,(구)강서구,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
대구,,,-,-,-,-,-,-,-,-,-,-,-,-,57.68,38.17,35.15,27.42,13.74,-2.61,-7.77,0.87,1.27,1.09,-0.71,-15.24,1.93,-1.05,0.42,2.09,1.54,1.58,3.317,4.185,2.911,-0.451,0.284,1.401,1.398,1.583,1.679,3.149,4.059,3.931,4.58,5.011,4.553,3.404,4.376
